id,parish,admin1_code,area_sq_miles,population_2010,percent_afam_2010,median_income_2011,waste_sites_2011,waste_sites_p_sq_mile_2011,releasing_facilities_2014,facilities_p_sq_mile_2014,releases_2014,avg_pounds_toxics_2010_2013,toxics_pp
1,Acadia,LA-1-Acadia,655.12,60957,18.33,34960,9,0.013737941,3,0.004579314,21,"13,228",0.216997228
2,Allen,LA-2-Allen,761.85,25350,23.6,34586,1,0.001312594,3,0.003937783,5,"28,336",1.117790927
3,Ascension,LA-3-Ascension,289.98,105905,22.5,63305,15,0.051727705,20,0.068970274,240,"19,080,659",180.1676833
4,Assumption,LA-4-Assumption,338.66,23212,29.91,44770,7,0.020669698,2,0.005905628,29,"45,851",1.975325263
5,Avoyelles,LA-5-Avoyelles,832.43,41391,29.26,31733,3,0.003603907,1,0.001201302,1,125,0.00301998
6,Beauregard,LA-6-Beauregard,1157.34,34793,13.28,43673,1,0.00086405,4,0.003456201,31,"2,082,350",59.84968959
7,Bienville,LA-7-Bienville,811.27,14177,42.08,30750,0,0,2,0.002465271,7,"1,315",0.092773506
8,Bossier,LA-8-Bossier,840.06,114427,20.96,50577,6,0.007142347,5,0.005951956,19,"1,287",0.011245161
9,Caddo,LA-9-Caddo,878.54,251211,46.98,39948,62,0.07057163,19,0.02162679,84,"1,011,019",4.024581925
10,Calcasieu,LA-10-Calcasieu,1063.66,189088,24.98,41065,27,0.025384051,28,0.026324201,320,"14,343,945",75.85856718
11,Caldwell,LA-11-Caldwell,529.43,10042,17.58,36415,0,0,0,0,0,No Data,No Data
12,Cameron,LA-12-Cameron,1284.89,6765,2.32,54318,2,0.001556553,2,0.001556553,7,"1,148",0.16962306
13,Catahoula,LA-13-Catahoula,708.03,10331,31.39,31678,2,0.002824739,0,0,0,No Data,No Data
14,Claiborne,LA-14-Claiborne,754.88,17051,50.34,34084,4,0.005298855,1,0.001324714,1,99,0.005820773
15,Concordia,LA-15-Concordia,696.92,20643,40.41,29373,0,0,1,0.001434885,3,66,0.003172988
16,De Soto,LA-16-De Soto,875.58,26348,38.73,40507,0,0,4,0.0045684,44,"10,764,605",408.5548998
17,East Baton Rouge,LA-17-East Baton Rouge,455.37,434333,45.16,45924,77,0.169093265,27,0.059292444,305,"9,537,275",21.95843915
18,East Carroll,LA-18-East Carroll,420.7,7701,67.89,25163,0,0,1,0.002376991,1,No Data,No Data
19,East Feliciana,LA-19-East Feliciana,453.41,20041,44.61,38478,1,0.002205509,0,0,0,No Data,No Data
20,Evangeline,LA-20-Evangeline,662.38,33616,28.27,32099,0,0,2,0.003019415,14,"165,174",4.913538196
21,Franklin,LA-21-Franklin,624.59,20605,31.18,29025,0,0,0,0,0,No Data,No Data
22,Grant,LA-22-Grant,643.03,21957,16,39539,0,0,1,0.001555137,3,519,0.023625723
23,Iberia,LA-23-Iberia,574.11,72103,31.98,40626,6,0.010450959,13,0.022643744,22,"347,650",4.821574692
24,Iberville,LA-24-Iberville,618.63,33119,48.59,37832,3,0.004849425,20,0.032329502,367,"6,976,690",210.6552055
25,Jackson,LA-25-Jackson,569.18,16081,29.77,36032,0,0,1,0.001756913,16,"1,010,147",62.81616504
26,Jefferson,LA-26-Jefferson,651.33,423331,26.15,43700,26,0.039918321,16,0.024565121,84,"18,042,912",42.62128689
27,Jefferson Davis,LA-27-Jefferson Davis,295.63,31006,17.44,38723,7,0.023678246,3,0.01014782,8,256.25,0.008264529
28,Lafayette,LA-28-Lafayette,624.68,217982,12.21,42576,1,0.00160082,19,0.030415573,76,No Data,No Data
29,Lafourche,LA-29-Lafourche,268.72,94587,25.74,47138,13,0.048377493,9,0.033492111,38,"262,122",2.771223847
30,La Salle,LA-30-La Salle,1068.21,14747,13.4,48180,9,0.00842531,0,0,0,"213,461",14.47484234
31,Lincoln,LA-31-Lincoln,471.74,46232,40.8,34497,2,0.004239624,9,0.019078306,22,"81,581",1.764605684
32,Livingston,LA-32-Livingston,648.17,126559,5.85,53700,7,0.010799636,5,0.007714026,10,"109,756",0.867233859
33,Madison,LA-33-Madison,624.44,11982,60.29,23240,0,0,1,0.001601435,7,"2,531",0.211191788
34,Morehouse,LA-34-Morehouse,794.93,27705,47.07,26778,0,0,0,0,0,No Data,No Data
35,Natchitoches,LA-35-Natchitoches,1252.25,38721,41.45,32203,4,0.00319425,6,0.004791376,30,"2,166,583",55.95370083
36,Orleans,LA-36-Orleans,169.42,337909,59.18,34851,53,0.312832015,5,0.029512454,6,"28,349",0.083896108
37,Ouachita,LA-37-Ouachita,610.41,151980,36.58,35770,17,0.027850134,9,0.014744188,44,"11,254,471",74.0523128
38,Plaquemines,LA-38-Plaquemines,779.91,22417,20.87,52259,6,0.007693195,10,0.012821992,84,"948,977",42.33292813
39,Pointe Coupee,LA-39-Pointe Coupee,557.35,22582,36.28,40052,3,0.005382614,3,0.005382614,23,"3,030,311",134.1914135
40,Rapides,LA-40-Rapides,1317.96,129402,31.94,36624,19,0.014416219,14,0.010622477,51,"982,129",7.589747454
41,Red River,LA-41-Red River,389.09,9033,39.72,32650,0,0,2,0.005140199,23,"53,793",5.955192074
42,Richland,LA-42-Richland,559.04,20535,35.67,32148,2,0.003577562,1,0.001788781,6,"42,505",2.069880692
43,Sabine,LA-43-Sabine,866.66,23419,16.81,37875,2,0.00230771,4,0.00461542,7,"50,372",2.150913788
44,St Bernard,LA-44-St Bernard,377.52,34854,18.95,38068,5,0.013244331,3,0.007946599,82,"1,248,141",35.81054542
45,St Charles,LA-45-St Charles,279.08,51933,26.5,54860,7,0.025082414,21,0.075247241,281,"21,600,378",415.9277916
46,St Helena,LA-46-St Helena,408.4,11112,52.77,33721,0,0,0,0,0,No Data,No Data
47,St James,LA-47-St James,241.54,21958,50.22,43701,2,0.008280202,10,0.04140101,79,"4,370,997",199.0616973
48,St John The Baptist,LA-48-St John The Baptist,213.07,45263,53,50483,5,0.023466466,10,0.046932933,108,"4,610,908",101.869253
