Indicator ID,Dimension List,Timeframe,Numeric Value,Locale,Locale Level,Locale State FIPS Code,Locale County FIPS Code,Locale County SSA Code,Locale HRR Code,Total,Age,Sex,Race Ethnicity,Income And Poverty Status,Educational Attainment,Health Insurance Status,Sexual Orientation,Marital Status,Family Type,Veteran Status,Country Of Birth,Disability Status,Obesity Status,Characteristic Of School Or Student,Other,Geography,Modifier1,Modifier2,Modifier3,Modifier4,Modifier5,Numerator,Denominator
91546459,Total,2010,"11,018,824",Louisiana - Ouachita,County,22,22073,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784875,Total,2008,"8,362,890",Louisiana - Ouachita,County,22,22073,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"11,254,471",Louisiana - Ouachita Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390672,Total,2013,"947,272",Louisiana - Plaquemines,County,22,22075,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863008,Total,2012,"922,608",Louisiana - Plaquemines,County,22,22075,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549737,Total,2011,"1,143,742",Louisiana - Plaquemines,County,22,22075,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546460,Total,2010,"782,287",Louisiana - Plaquemines,County,22,22075,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784876,Total,2008,"243,743",Louisiana - Plaquemines,County,22,22075,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"948,977",Louisiana - Plaquemines Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390673,Total,2013,"2,423,845",Louisiana - Pointe Coupee,County,22,22077,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863009,Total,2012,"2,191,542",Louisiana - Pointe Coupee,County,22,22077,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549738,Total,2011,"2,444,133",Louisiana - Pointe Coupee,County,22,22077,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546461,Total,2010,"5,061,722",Louisiana - Pointe Coupee,County,22,22077,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784877,Total,2008,"5,416,160",Louisiana - Pointe Coupee,County,22,22077,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"3,030,311",Louisiana - Pointe Coupee Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390674,Total,2013,"1,172,566",Louisiana - Rapides,County,22,22079,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863010,Total,2012,"1,049,601",Louisiana - Rapides,County,22,22079,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549739,Total,2011,"809,239",Louisiana - Rapides,County,22,22079,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546462,Total,2010,"897,108",Louisiana - Rapides,County,22,22079,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784878,Total,2008,"1,557,890",Louisiana - Rapides,County,22,22079,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"982,129",Louisiana - Rapides Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390675,Total,2013,"65,925",Louisiana - Red River,County,22,22081,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863011,Total,2012,"90,874",Louisiana - Red River,County,22,22081,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549740,Total,2011,"39,732",Louisiana - Red River,County,22,22081,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546463,Total,2010,"18,642",Louisiana - Red River,County,22,22081,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"53,793",Louisiana - Red River Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24784879,Total,2008,7,Louisiana - Red River,County,22,22081,,,Total,,,,,,,,,,,,,,,,,,,,,,,
416390676,Total,2013,"42,303",Louisiana - Richland,County,22,22083,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863012,Total,2012,"38,531",Louisiana - Richland,County,22,22083,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549741,Total,2011,"49,884",Louisiana - Richland,County,22,22083,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546464,Total,2010,"39,302",Louisiana - Richland,County,22,22083,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784880,Total,2008,"1,887",Louisiana - Richland,County,22,22083,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"42,505",Louisiana - Richland Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390677,Total,2013,"29,571",Louisiana - Sabine,County,22,22085,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863013,Total,2012,"71,658",Louisiana - Sabine,County,22,22085,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549742,Total,2011,"54,639",Louisiana - Sabine,County,22,22085,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546465,Total,2010,"45,621",Louisiana - Sabine,County,22,22085,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784881,Total,2008,"95,268",Louisiana - Sabine,County,22,22085,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"50,372",Louisiana - Sabine Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390678,Total,2013,"1,328,416",Louisiana - St. Bernard,County,22,22087,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863014,Total,2012,"1,150,733",Louisiana - St. Bernard,County,22,22087,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549743,Total,2011,"1,383,769",Louisiana - St. Bernard,County,22,22087,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546466,Total,2010,"1,129,645",Louisiana - St. Bernard,County,22,22087,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784882,Total,2008,"1,101,570",Louisiana - St. Bernard,County,22,22087,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"1,248,141",Louisiana - St. Bernard Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390679,Total,2013,"22,942,956",Louisiana - St. Charles,County,22,22089,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863015,Total,2012,"23,414,410",Louisiana - St. Charles,County,22,22089,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549744,Total,2011,"19,873,367",Louisiana - St. Charles,County,22,22089,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546467,Total,2010,"20,170,779",Louisiana - St. Charles,County,22,22089,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784883,Total,2008,"19,927,700",Louisiana - St. Charles,County,22,22089,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"21,600,378",Louisiana - St. Charles Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390680,Total,2013,NA,Louisiana - St. Helena,County,22,22091,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863016,Total,2012,NA,Louisiana - St. Helena,County,22,22091,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549745,Total,2011,NA,Louisiana - St. Helena,County,22,22091,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546468,Total,2010,NA,Louisiana - St. Helena,County,22,22091,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784884,Total,2008,NA,Louisiana - St. Helena,County,22,22091,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,,Louisiana - St. Helena Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390681,Total,2013,"4,588,973",Louisiana - St. James,County,22,22093,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863017,Total,2012,"4,076,141",Louisiana - St. James,County,22,22093,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549746,Total,2011,"4,280,223",Louisiana - St. James,County,22,22093,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546469,Total,2010,"4,538,650",Louisiana - St. James,County,22,22093,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784885,Total,2008,"3,939,110",Louisiana - St. James,County,22,22093,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"4,370,997",Louisiana - St. James Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390682,Total,2013,"4,310,335",Louisiana - St. John the Baptist,County,22,22095,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863018,Total,2012,"4,494,653",Louisiana - St. John the Baptist,County,22,22095,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549747,Total,2011,"4,943,883",Louisiana - St. John the Baptist,County,22,22095,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546470,Total,2010,"4,694,761",Louisiana - St. John the Baptist,County,22,22095,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784886,Total,2008,"4,509,970",Louisiana - St. John the Baptist,County,22,22095,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"4,610,908",Louisiana - St. John the Baptist Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390683,Total,2013,"388,061",Louisiana - St. Landry,County,22,22097,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863019,Total,2012,"333,705",Louisiana - St. Landry,County,22,22097,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549748,Total,2011,"301,979",Louisiana - St. Landry,County,22,22097,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546471,Total,2010,"565,448",Louisiana - St. Landry,County,22,22097,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784887,Total,2008,"283,093",Louisiana - St. Landry,County,22,22097,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"397,298",Louisiana - St. Landry Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390684,Total,2013,"22,750",Louisiana - St. Martin,County,22,22099,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863020,Total,2012,"24,312",Louisiana - St. Martin,County,22,22099,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549749,Total,2011,"24,780",Louisiana - St. Martin,County,22,22099,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546472,Total,2010,"25,060",Louisiana - St. Martin,County,22,22099,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784888,Total,2008,"32,000",Louisiana - St. Martin,County,22,22099,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"24,226",Louisiana - St. Martin Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390685,Total,2013,"773,373",Louisiana - St. Mary,County,22,22101,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863021,Total,2012,"872,365",Louisiana - St. Mary,County,22,22101,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549750,Total,2011,"506,494",Louisiana - St. Mary,County,22,22101,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546473,Total,2010,"571,053",Louisiana - St. Mary,County,22,22101,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784889,Total,2008,"535,948",Louisiana - St. Mary,County,22,22101,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"680,821",Louisiana - St. Mary Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390686,Total,2013,"95,600",Louisiana - St. Tammany,County,22,22103,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863022,Total,2012,"74,514",Louisiana - St. Tammany,County,22,22103,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549751,Total,2011,"46,897",Louisiana - St. Tammany,County,22,22103,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546474,Total,2010,"33,768",Louisiana - St. Tammany,County,22,22103,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784890,Total,2008,"79,180",Louisiana - St. Tammany,County,22,22103,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"62,695",Louisiana - St. Tammany Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390687,Total,2013,"182,004",Louisiana - Tangipahoa,County,22,22105,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863023,Total,2012,"121,825",Louisiana - Tangipahoa,County,22,22105,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549752,Total,2011,"81,710",Louisiana - Tangipahoa,County,22,22105,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546475,Total,2010,"70,803",Louisiana - Tangipahoa,County,22,22105,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784891,Total,2008,"235,461",Louisiana - Tangipahoa,County,22,22105,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"114,086",Louisiana - Tangipahoa Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390688,Total,2013,NA,Louisiana - Tensas,County,22,22107,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863024,Total,2012,NA,Louisiana - Tensas,County,22,22107,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549753,Total,2011,NA,Louisiana - Tensas,County,22,22107,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546476,Total,2010,NA,Louisiana - Tensas,County,22,22107,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784892,Total,2008,NA,Louisiana - Tensas,County,22,22107,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,,Louisiana - Tensas Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390689,Total,2013,"92,948",Louisiana - Terrebonne,County,22,22109,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863025,Total,2012,"159,454",Louisiana - Terrebonne,County,22,22109,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549754,Total,2011,"77,166",Louisiana - Terrebonne,County,22,22109,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546477,Total,2010,"75,782",Louisiana - Terrebonne,County,22,22109,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784893,Total,2008,"41,772",Louisiana - Terrebonne,County,22,22109,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"101,338",Louisiana - Terrebonne Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390690,Total,2013,"4,502",Louisiana - Union,County,22,22111,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863026,Total,2012,"29,205",Louisiana - Union,County,22,22111,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549755,Total,2011,"41,107",Louisiana - Union,County,22,22111,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546478,Total,2010,"21,395",Louisiana - Union,County,22,22111,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784894,Total,2008,"118,855",Louisiana - Union,County,22,22111,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"24,052",Louisiana - Union Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390691,Total,2013,"69,174",Louisiana - Vermilion,County,22,22113,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863027,Total,2012,"91,420",Louisiana - Vermilion,County,22,22113,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549756,Total,2011,"39,475",Louisiana - Vermilion,County,22,22113,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546479,Total,2010,"35,869",Louisiana - Vermilion,County,22,22113,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784895,Total,2008,"13,854",Louisiana - Vermilion,County,22,22113,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"58,985",Louisiana - Vermilion Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390692,Total,2013,"148,926",Louisiana - Vernon,County,22,22115,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863028,Total,2012,"196,352",Louisiana - Vernon,County,22,22115,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549757,Total,2011,"77,687",Louisiana - Vernon,County,22,22115,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546480,Total,2010,"105,060",Louisiana - Vernon,County,22,22115,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784896,Total,2008,"51,116",Louisiana - Vernon,County,22,22115,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"132,006",Louisiana - Vernon Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390693,Total,2013,"3,040,057",Louisiana - Washington,County,22,22117,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863029,Total,2012,"3,796,750",Louisiana - Washington,County,22,22117,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549758,Total,2011,"3,294,473",Louisiana - Washington,County,22,22117,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546481,Total,2010,"2,771,526",Louisiana - Washington,County,22,22117,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784897,Total,2008,"1,706,570",Louisiana - Washington,County,22,22117,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"3,225,702",Louisiana - Washington Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390694,Total,2013,"118,769",Louisiana - Webster,County,22,22119,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863030,Total,2012,"50,051",Louisiana - Webster,County,22,22119,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549759,Total,2011,"48,903",Louisiana - Webster,County,22,22119,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546482,Total,2010,"44,188",Louisiana - Webster,County,22,22119,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784898,Total,2008,"79,821",Louisiana - Webster,County,22,22119,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"65,478",Louisiana - Webster Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390695,Total,2013,"909,845",Louisiana - West Baton Rouge,County,22,22121,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863031,Total,2012,"1,001,667",Louisiana - West Baton Rouge,County,22,22121,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549760,Total,2011,"1,093,141",Louisiana - West Baton Rouge,County,22,22121,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546483,Total,2010,"1,860,827",Louisiana - West Baton Rouge,County,22,22121,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784899,Total,2008,"733,784",Louisiana - West Baton Rouge,County,22,22121,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"1,216,370",Louisiana - West Baton Rouge Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390696,Total,2013,NA,Louisiana - West Carroll,County,22,22123,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863032,Total,2012,NA,Louisiana - West Carroll,County,22,22123,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549761,Total,2011,NA,Louisiana - West Carroll,County,22,22123,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546484,Total,2010,NA,Louisiana - West Carroll,County,22,22123,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784900,Total,2008,NA,Louisiana - West Carroll,County,22,22123,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,,Louisiana - West Carroll Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390697,Total,2013,"437,539",Louisiana - West Feliciana,County,22,22125,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863033,Total,2012,"412,503",Louisiana - West Feliciana,County,22,22125,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549762,Total,2011,"384,932",Louisiana - West Feliciana,County,22,22125,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546485,Total,2010,"153,967",Louisiana - West Feliciana,County,22,22125,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784901,Total,2008,NA,Louisiana - West Feliciana,County,22,22125,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"347,235",Louisiana - West Feliciana Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390698,Total,2013,"118,774",Louisiana - Winn,County,22,22127,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303863034,Total,2012,"111,949",Louisiana - Winn,County,22,22127,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549763,Total,2011,"92,200",Louisiana - Winn,County,22,22127,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546486,Total,2010,"93,356",Louisiana - Winn,County,22,22127,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784902,Total,2008,"120,203",Louisiana - Winn,County,22,22127,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"104,070",Louisiana - Winn Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
