Indicator ID,Dimension List,Timeframe,Numeric Value,Locale,Locale Level,Locale State FIPS Code,Locale County FIPS Code,Locale County SSA Code,Locale HRR Code,Total,Age,Sex,Race Ethnicity,Income And Poverty Status,Educational Attainment,Health Insurance Status,Sexual Orientation,Marital Status,Family Type,Veteran Status,Country Of Birth,Disability Status,Obesity Status,Characteristic Of School Or Student,Other,Geography,Modifier1,Modifier2,Modifier3,Modifier4,Modifier5,Numerator,Denominator
91549708,Total,2011,"1,182,072",Louisiana - Caddo,County,22,22017,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546431,Total,2010,"1,042,975",Louisiana - Caddo,County,22,22017,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784847,Total,2008,"753,893",Louisiana - Caddo,County,22,22017,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"1,011,019",Louisiana - Caddo Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390644,Total,2013,"13,243,631",Louisiana - Calcasieu,County,22,22019,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862980,Total,2012,"14,759,634",Louisiana - Calcasieu,County,22,22019,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549709,Total,2011,"14,557,234",Louisiana - Calcasieu,County,22,22019,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546432,Total,2010,"14,815,280",Louisiana - Calcasieu,County,22,22019,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784848,Total,2008,"14,194,100",Louisiana - Calcasieu,County,22,22019,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"14,343,945",Louisiana - Calcasieu Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390645,Total,2013,---,Louisiana - Caldwell,County,22,22021,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862981,Total,2012,,Louisiana - Caldwell,County,22,22021,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549710,Total,2011,---,Louisiana - Caldwell,County,22,22021,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546433,Total,2010,---,Louisiana - Caldwell,County,22,22021,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784849,Total,2008,DSU,Louisiana - Caldwell,County,22,22021,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,NA,Louisiana - Caldwell Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390646,Total,2013,120,Louisiana - Cameron,County,22,22023,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862982,Total,2012,5,Louisiana - Cameron,County,22,22023,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549711,Total,2011,"3,114",Louisiana - Cameron,County,22,22023,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546434,Total,2010,"1,351",Louisiana - Cameron,County,22,22023,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784850,Total,2008,"19,069",Louisiana - Cameron,County,22,22023,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"1,148",Louisiana - Cameron Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390647,Total,2013,---,Louisiana - Catahoula,County,22,22025,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862983,Total,2012,,Louisiana - Catahoula,County,22,22025,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549712,Total,2011,---,Louisiana - Catahoula,County,22,22025,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546435,Total,2010,---,Louisiana - Catahoula,County,22,22025,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784851,Total,2008,DSU,Louisiana - Catahoula,County,22,22025,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,NA,Louisiana - Catahoula Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390648,Total,2013,191,Louisiana - Claiborne,County,22,22027,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862984,Total,2012,206,Louisiana - Claiborne,County,22,22027,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549713,Total,2011,0,Louisiana - Claiborne,County,22,22027,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546436,Total,2010,0,Louisiana - Claiborne,County,22,22027,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784852,Total,2008,NA,Louisiana - Claiborne,County,22,22027,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,99,Louisiana - Claiborne Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390649,Total,2013,0,Louisiana - Concordia,County,22,22029,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862985,Total,2012,4,Louisiana - Concordia,County,22,22029,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549714,Total,2011,128,Louisiana - Concordia,County,22,22029,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546437,Total,2010,130,Louisiana - Concordia,County,22,22029,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784853,Total,2008,160,Louisiana - Concordia,County,22,22029,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,66,Louisiana - Concordia Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390650,Total,2013,"9,522,383",Louisiana - De Soto,County,22,22031,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862986,Total,2012,"11,508,082",Louisiana - De Soto,County,22,22031,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549715,Total,2011,"11,112,379",Louisiana - De Soto,County,22,22031,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546438,Total,2010,"10,915,574",Louisiana - De Soto,County,22,22031,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784854,Total,2008,"11,902,500",Louisiana - De Soto,County,22,22031,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"10,764,605",Louisiana - De Soto Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390651,Total,2013,"8,886,213",Louisiana - East Baton Rouge,County,22,22033,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862987,Total,2012,"9,406,902",Louisiana - East Baton Rouge,County,22,22033,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549716,Total,2011,"9,183,812",Louisiana - East Baton Rouge,County,22,22033,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546439,Total,2010,"10,672,172",Louisiana - East Baton Rouge,County,22,22033,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784855,Total,2008,"12,837,800",Louisiana - East Baton Rouge,County,22,22033,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"9,537,275",Louisiana - East Baton Rouge Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390652,Total,2013,NA,Louisiana - East Carroll,County,22,22035,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862988,Total,2012,NA,Louisiana - East Carroll,County,22,22035,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549717,Total,2011,NA,Louisiana - East Carroll,County,22,22035,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546440,Total,2010,NA,Louisiana - East Carroll,County,22,22035,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784856,Total,2008,NA,Louisiana - East Carroll,County,22,22035,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,,Louisiana - East Carroll Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390653,Total,2013,NA,Louisiana - East Feliciana,County,22,22037,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862989,Total,2012,NA,Louisiana - East Feliciana,County,22,22037,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549718,Total,2011,NA,Louisiana - East Feliciana,County,22,22037,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546441,Total,2010,NA,Louisiana - East Feliciana,County,22,22037,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784857,Total,2008,NA,Louisiana - East Feliciana,County,22,22037,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,,Louisiana - East Feliciana Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390654,Total,2013,"206,003",Louisiana - Evangeline,County,22,22039,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862990,Total,2012,"210,953",Louisiana - Evangeline,County,22,22039,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549719,Total,2011,"122,414",Louisiana - Evangeline,County,22,22039,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546442,Total,2010,"121,324",Louisiana - Evangeline,County,22,22039,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784858,Total,2008,"142,739",Louisiana - Evangeline,County,22,22039,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"165,174",Louisiana - Evangeline Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390655,Total,2013,NA,Louisiana - Franklin,County,22,22041,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862991,Total,2012,NA,Louisiana - Franklin,County,22,22041,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549720,Total,2011,NA,Louisiana - Franklin,County,22,22041,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546443,Total,2010,NA,Louisiana - Franklin,County,22,22041,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784859,Total,2008,NA,Louisiana - Franklin,County,22,22041,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,,Louisiana - Franklin Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390656,Total,2013,477,Louisiana - Grant,County,22,22043,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862992,Total,2012,704,Louisiana - Grant,County,22,22043,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549721,Total,2011,739,Louisiana - Grant,County,22,22043,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546444,Total,2010,155,Louisiana - Grant,County,22,22043,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784860,Total,2008,146,Louisiana - Grant,County,22,22043,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,519,Louisiana - Grant Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390657,Total,2013,"325,620",Louisiana - Iberia,County,22,22045,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862993,Total,2012,"729,346",Louisiana - Iberia,County,22,22045,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549722,Total,2011,"166,203",Louisiana - Iberia,County,22,22045,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546445,Total,2010,"169,431",Louisiana - Iberia,County,22,22045,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784861,Total,2008,"224,738",Louisiana - Iberia,County,22,22045,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"347,650",Louisiana - Iberia Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390658,Total,2013,"6,884,756",Louisiana - Iberville,County,22,22047,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862994,Total,2012,"7,789,557",Louisiana - Iberville,County,22,22047,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549723,Total,2011,"7,337,184",Louisiana - Iberville,County,22,22047,,,Total,,,,,,,,,,,,,,,,,,,,,,,
